,S,E,Ia,Is,R,Ihsub,Ihcrit,D,Htot,Dperday,NCperday,Hcumulative
2020-04-28,10439907.756392322,21039.330519155632,20778.912710952136,8451.305171073851,173214.69115476313,1038.360561616089,654.6434901154167,1022.9999999999997,1693.0040517315058,32.96543182074457,5025.993894815181,6984.261088773853
2020-04-29,10434881.762497507,20833.41674317085,21011.322965458312,8550.02756963717,178058.3952670724,1053.1348815795122,663.9746437524602,1055.9654318207438,1717.1095253319736,33.43138257314221,5074.975174631895,7178.872769225932
2020-04-30,10429806.787322877,20716.219795523004,21177.341645707027,8627.997022457823,182949.2740379857,1067.7159354439052,673.2674256120487,1089.3968143938864,1740.9833610559538,33.893597367921025,5117.007523349959,7375.6544773040805
2020-05-01,10424689.779799528,20662.05693602655,21300.505059642957,8692.204436741105,187875.78369255745,1081.9246588137617,682.4550049296988,1123.2904117618073,1764.3796637434605,34.35590626989642,10372.042153857794,7574.323565715053
2020-05-02,10414317.737645667,25273.692097552797,21795.484859942342,8913.440525149628,192861.54044902747,1096.4523042513706,692.0058003757576,1157.6463180317035,1788.4581046271278,34.88614648409221,10797.995407020368,7776.017423749188
2020-05-03,10403519.742238648,29247.801904930366,22902.652473485323,9390.121211386635,198036.61343158718,1114.5234531467945,704.0128222993303,1192.5324645157955,1818.536275446124,35.58402024629505,11490.58739253895,7986.3744780453335
2020-05-04,10392029.154846108,32959.92648552478,24459.029059964676,10052.8356722104,203520.07197682897,1138.7277024393072,720.1377721600699,1228.1164847620912,1858.8654745993767,36.515475423983546,12385.294667291022,8210.475016121074
2020-05-05,10379643.86017882,36645.804070821985,26375.303119729993,10863.253862535259,209403.05666592682,1170.6886974557665,741.4014445254752,1264.6319601860741,1912.0901419812412,37.72151941735547,13448.259053302849,8452.131653389084
2020-05-06,10366195.601125518,40459.7728510289,28606.400196488736,11801.781940466875,215762.1244210152,1211.4962413360554,768.4697445450964,1302.35347960343,1979.965985881152,39.23016539463818,14663.241267259147,8714.482464255372
2020-05-07,10351532.359858256,44507.82531292416,31134.906140012125,12860.58268972795,222666.97210418823,1261.9527530027,801.8174968901793,1341.5836449980682,2063.7702498928797,41.062762960584735,16025.482118564505,9000.33617466457
2020-05-08,10335506.877739694,48868.477791390935,33960.708766084805,14039.189182568109,230185.53585051536,1322.7307105166512,841.8335512733247,1382.6464079586533,2164.5642617899757,43.23754056831465,17537.354005050493,9312.4013178701
2020-05-09,10317969.523734642,53605.36062891057,37094.79943967323,15341.873357257336,238387.2055237681,1394.4685842158688,888.8847830062268,1425.883948526967,2283.353367222096,45.77431660344006,19204.48535912796,9653.430460139263
2020-05-10,10298765.038375515,58771.807789893915,40557.218519093534,16776.749997547533,247344.37853671852,1477.807756000063,943.3407601022876,1471.6582651304075,2421.148516102352,48.69075325550048,21039.13201572081,10026.289615176593
2020-05-11,10277725.906359788,64422.41098488369,44371.31396648374,18353.336943374667,257135.56662458746,1573.4824548637307,1005.633647627898,1520.3490183859078,2579.116102491629,52.01056765334877,23051.267170893843,10434.097193438458
2020-05-12,10254674.639188897,70606.95369573255,48567.10000497664,20083.952319778284,267844.4898816459,1682.2763543179196,1076.2289686104841,1572.359586039257,2758.505322928404,55.75940224196452,25254.99928593552,10880.18157590652
2020-05-13,10229419.639902966,77376.44534908107,53178.36657550753,21982.480167630158,279562.2172495695,1805.0730522434162,1155.6587147236419,1628.1189882812216,2960.731766967057,59.964445762180084,27666.929200234823,11368.174328143703
2020-05-14,10201752.71070273,84786.92083950822,58240.77243346128,24063.55158584672,292388.53143604967,1942.8875508174629,1244.5420175444865,1688.0834340434014,3187.4295683619484,64.65832766214861,30302.173384099082,11902.069978040427
2020-05-15,10171450.53731863,92894.89057600727,63794.35224914503,26343.598569621867,306431.47915357177,2096.835989805789,1343.5643815132448,1752.7417617055505,3440.400371319033,69.87837133672576,33176.49418485424,12486.202392514422
2020-05-16,10138274.043133773,101756.50508921807,69884.08625402303,28841.082266458747,321808.0467011617,2268.1376544743266,1453.4787678463324,1822.620133042276,3721.6164223206597,75.66535503313123,36309.250544213704,13125.271844106579
2020-05-17,10101964.792589562,111433.68633660945,76556.39724884648,31575.01757266576,338646.51728001673,2458.165575187572,1575.1379090371256,1898.2854880754064,4033.303484224697,82.06111045142879,39720.05152592968,13824.445105197055
2020-05-18,10062244.741063632,121994.50855827883,83858.85363813335,34564.851246602484,357086.7521475218,2668.450262108973,1709.4964851956797,1980.346598526836,4377.946747304654,89.11598459811806,43425.59291645749,14589.366664402392
2020-05-19,10018819.148147177,133505.50411704273,91844.04889376595,37832.08585669623,377279.53646995744,2900.6334804903945,1857.5804517477848,2069.462583124954,4758.213932238182,96.88580347444721,47441.179153747325,15426.125512694138
2020-05-20,9971377.968993424,146027.74166591652,100571.40625401404,41401.01165997388,399386.59597439383,3156.450884017605,2020.476181657669,2166.348386599401,5176.927065675274,105.42848530803398,51786.8901803645,16341.255132307504
2020-05-21,9919591.07881306,159628.73591971307,110099.34976315199,45295.471232889504,423584.37713246135,3437.8225979515473,2199.3876688623864,2271.776871907435,5637.210266813932,114.80241333299473,56483.19391077207,17341.89165939745
2020-05-22,9863107.88490229,174383.44229171725,120484.60887976688,49538.5741524337,450064.4082972111,3746.8609043834385,2395.6412869565397,2386.5792852404293,6142.502191339978,125.07329141077815,61545.80916716364,18435.78867221391
2020-05-23,9801562.07573513,190366.60739686934,131784.9293972069,54153.828883283255,479032.42781164474,4085.8229093090013,2610.655289908463,2511.6525766512077,6696.478199217467,136.32119243960648,66978.62486504992,19631.27719434196
2020-05-24,9734583.450870076,207627.61594528318,144071.918338314,59170.42821634724,510703.8315715271,4456.9460409284375,2845.8352484321913,2647.9737690908146,7302.781289360628,148.62020385033412,72793.07192552014,20937.070765984266
2020-05-25,9661790.37894456,226216.3172465507,157413.39414650016,64615.98545284582,545310.0097202811,4862.630604429041,3102.689911895205,2796.5939729411475,7965.320516324249,162.0434517093048,79002.69225790899,22362.532896313092
2020-05-26,9582787.686686648,246191.28087693237,171867.41408844938,70514.08470342011,583100.5291708667,5305.498665345651,3382.8683836876057,2958.6374246504542,8688.367049033255,176.6655864159732,85618.30588616269,23917.768173289383
2020-05-27,9497169.38080048,267616.8486291761,187482.9088168804,76884.54653923884,624342.493295677,5788.37249306055,3688.1464144154693,3135.3030110664263,9476.518907476022,192.58518722377275,92621.09541222936,25613.594878199947
2020-05-28,9404548.285388254,290513.2888768422,204321.99537976048,83752.60928421428,669309.8106655707,6313.920353538915,4020.201853527634,3327.888198290199,10334.122207066552,209.8966976084336,99991.32566018855,27461.089769625843
2020-05-29,9304556.959728073,314864.88428697863,222452.67596245086,91145.91890678571,718284.4298183592,6884.702335496761,4380.644065962729,3537.784895898633,11265.346401459485,228.67446793489643,107719.87709203028,29471.641972061898
2020-05-30,9196837.082636038,340664.03116988123,241918.3426520245,99082.02937157413,771565.3846372056,7503.467844208866,4771.202325235314,3766.459363833529,12274.670169444182,248.9921853192957,115797.45200496096,31657.335218231558
