,S,E,Ia,Is,R,Ihsub,Ihcrit,D,Htot,Dperday,NCperday,Hcumulative
2020-04-28,10439907.756392322,21039.330519155632,20778.912710952136,8451.305171073851,173214.69115476313,1038.360561616089,654.6434901154167,1022.9999999999997,1693.0040517315058,32.96543182074457,5025.993894815181,6984.261088773853
2020-04-29,10434881.762497507,20833.41674317085,21011.322965458312,8550.02756963717,178058.3952670724,1053.1348815795122,663.9746437524602,1055.9654318207438,1717.1095253319736,33.43138257314221,5074.975174631895,7178.872769225932
2020-04-30,10429806.787322877,20716.219795523004,21177.341645707027,8627.997022457823,182949.2740379857,1067.7159354439052,673.2674256120487,1089.3968143938864,1740.9833610559538,33.893597367921025,5117.007523349959,7375.6544773040805
2020-05-01,10424689.779799528,20662.05693602655,21300.505059642957,8692.204436741105,187875.78369255745,1081.9246588137617,682.4550049296988,1123.2904117618073,1764.3796637434605,34.3493701450856,5154.763530094862,7574.323565715053
2020-05-02,10419535.01626943,20653.2120335371,21397.110671014245,8747.392472139865,192830.47540463027,1095.6617060308818,691.4916613090027,1157.6397819068934,1787.1533673398844,34.796747071091865,5190.082350254559,7774.679514952403
2020-05-03,10414344.93391918,20677.53161616593,21478.326971875107,8796.765438473414,197808.77948793306,1108.8807234166854,700.3453139805601,1192.4365289779848,1809.2260373972456,35.234343973141755,5224.19652194626,7976.577259922943
2020-05-04,10409120.737397237,20726.659875739668,21551.763912174694,8842.505144569835,202808.10107340012,1121.5691126028116,708.9926113307251,1227.6708729511265,1830.5617239335368,35.66118631313845,5257.889015098576,8179.908509829438
2020-05-05,10403862.84838213,20794.71408074935,21622.677487557758,8886.148455719362,207827.12888485385,1133.7343690275416,717.4162806953664,1263.332059264265,1851.150649722908,36.07652049816586,5291.7346351096585,8384.589299626727
2020-05-06,10398571.11374702,20877.673463353014,21694.535080763497,8928.749966965306,212865.51599129397,1145.3985557831786,725.6046150557381,1299.4085797624302,1871.003170838916,36.47989496745396,5326.083001262431,8590.555586985833
2020-05-07,10393245.030745758,20972.703177079537,21769.65099646718,8971.065078225709,217923.5190124732,1156.5919057047865,733.5506095592923,1335.8884747298848,1890.1425152640784,36.871092814536865,5361.130821666213,8797.757964386801
2020-05-08,10387883.899924096,21077.685201387256,21849.635699743358,9013.676742344467,223001.74307138746,1167.3484019351392,741.2513915637359,1372.759567544422,1908.5997934988748,37.25000065212836,5397.107296076867,9006.158064203806
2020-05-09,10382486.792628016,21191.33048138859,21935.293313983882,9056.949534382007,228101.20821893038,1177.7076367753689,748.7086183258018,1410.0095681965504,1926.4162551011716,37.616862825527626,5434.053639731822,9215.730500949769
2020-05-10,10377052.73898829,21312.586001786312,22027.19782737919,9101.193453427906,233223.0210194448,1187.7089313291258,755.9273473251418,1447.6264310220777,1943.636278654267,37.97205282366655,5471.981902228587,9426.457745640591
2020-05-11,10371580.757086052,21440.539390352154,22125.79082667989,9146.686357114932,238368.32144252872,1197.390578192289,762.9158352294107,1485.598483845744,1960.3064134216995,38.315970739583705,5510.994074303626,9638.329511932492
2020-05-12,10366069.76301175,21574.70984548388,22231.10294379271,9193.582994891254,243538.4479640897,1206.7931009331544,769.6856844706238,1523.9144545853278,1976.4787854037784,38.6492127825856,5551.100340199888,9851.345319725238
2020-05-13,10360518.66267155,21714.75490429501,22343.03909632872,9241.998019165154,248734.77455408213,1215.9561903164595,776.2508968912433,1562.5636673679135,1992.207087207702,38.972647919747175,5592.258552344489,10065.511346183315
2020-05-14,10354926.40411921,21860.292129782087,22461.55988291496,9292.05208509105,253958.6114154139,1224.9169920972342,782.6270602040546,1601.5363152876605,2007.544052301289,39.28717825730293,5634.433827648896,10280.838624558954
2020-05-15,10349291.970291564,22010.92078145697,22586.660281008753,9343.86562255293,259211.2181383897,1233.7102794373618,788.8311120491238,1640.8234935449634,2022.5413914864853,39.59360164959275,5677.660080144224,10497.342925943496
2020-05-16,10343614.310211414,22166.449710990768,22718.144265225448,9397.492407883105,264493.9341750634,1242.3708388147274,794.8812954121156,1680.4170951945562,2037.252134226844,39.892613266582345,5721.935478728438,10715.046077382169
2020-05-17,10337892.374732688,22326.788959063633,22855.732414427133,9452.948646169549,269808.11521398503,1250.9326894097135,800.7976357963611,1720.3097084611386,2051.730325206075,40.18530779142817,5767.217585145643,10933.975585022905
2020-05-18,10332125.157147544,22491.79747142683,22999.211078027467,9510.25901408832,275155.0535858539,1259.4270172508247,806.5996695582801,1760.4950162525668,2066.026686809105,40.47280770279985,5813.464054515852,11154.161002154808
2020-05-19,10326311.693093026,22661.281890175684,23148.433460027627,9569.457197888383,280535.9781440971,1267.8821197916468,812.3062710384764,1800.9678239553666,2080.1883908301224,40.75623261777717,5860.633231943869,11375.633723539851
2020-05-20,10320451.059861084,22834.998431088712,23303.317694627796,9630.585545136391,285952.0553629184,1276.3234193877693,817.9356291858372,1841.724056573144,2094.259048573606,41.036416504198904,5908.727008001555,11598.426949904473
2020-05-21,10314542.33285308,23012.792987269877,23463.705433712188,9693.658300520856,291404.4696107045,1284.77509900833,823.5052426264899,1882.7604730773428,2108.28034163482,41.31394881288485,5957.7435259946105,11822.575780894875
2020-05-22,10308584.589327086,23194.62794659917,23629.336505469808,9758.638673629268,296894.4372128506,1293.2615097391458,829.0344027359148,1924.0744218902273,2122.295912475061,41.589718885462354,6007.645117840008,12048.120867351961
2020-05-23,10302576.944209248,23380.430760508898,23799.996398896157,9825.494505204273,302423.1237725198,1301.8046997077224,834.5415131415813,1965.6641407756906,2136.346212849304,41.86463031622424,6058.400557590981,12275.103685719694
2020-05-24,10296518.543651652,23570.100705583794,23975.508007028173,9894.202446079338,307991.6491336237,1310.4241682774625,840.043116660673,2007.5287710919135,2150.467284938136,42.13958669946135,6109.978619300116,12503.564968753079
2020-05-25,10290408.565032354,23763.508883560997,24155.731626944267,9964.74795717874,313601.0873808221,1319.1368660476735,845.5538953000887,2049.6683577913755,2164.690761347761,42.41549162946379,6162.348077020472,12733.544705518116
2020-05-26,10284246.216955338,23960.498221330035,24340.564959764248,10037.125309517525,319252.4668395231,1327.9571948535593,851.0866702564402,2092.0838494208388,2179.043865109999,42.693183157096406,6215.483654687801,12965.082141391822
2020-05-27,10278030.733300647,24160.89893704781,24529.930483583048,10111.333628737315,324946.77679913194,1336.8972620435225,856.6525562319383,2134.777032577936,2193.549818275461,42.97266858839183,6269.408491157232,13198.215912275858
2020-05-28,10271761.324809492,24364.69292226357,24723.622804993945,10187.321909517983,330685.05357122514,1345.9704378546435,862.263843489217,2177.749701166328,2208.2342813438613,43.254728675824786,6324.036441279022,13432.98735497987
2020-05-29,10265437.28836821,24571.76621763825,24921.491423034244,10265.040699702004,336468.2877168061,1355.1883509050565,867.9327938618512,2221.0044298421526,2223.1211447669075,43.539947123409995,6379.33601784616,13669.439803562876
2020-05-30,10259057.952350363,24781.97774203586,25123.417731208978,10344.449878500807,342297.42719596304,1364.560667162214,873.6700577994358,2264.5443769655626,2238.2307249616497,43.8287245197975,6435.297595421346,13907.615227661985
